,Metabolite,#,growth_media,growth_system,concentration,concentration_units,error,temperature,strain,growth_status,molecules,molecules_error,reference_text,pubmed_id,internal,Minimal/complex,Carbon source,CS concentration [g/L],LB,UB
267,Tyrosine,2,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,Shake flask and filter culture,52.2,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,208800,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Acetate,4.0,28.2,96.4
269,Uracil,0,Luria-Bertani (LB) media,Shake flask,1013.0,uM,99.0,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),4052000,396000,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,914.0,1112.0
277,Valine,5,Luria-Bertani (LB) media,Shake flask,1623.33,uM,107.86,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),6493333,431432,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,1515.47,1731.1899999999998
270,Valine,0,Mineral medium,Bioreactor,210.5,uM,90.7986438958938,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,119.7013561041062,301.2986438958938
271,Valine,2,Rich medium,Shake flask,10325.0,uM,,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Complex,Rich,,,
272,Valine,0,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,4020.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,16080000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,3530.0,4580.0
273,Valine,1,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,Shake flask and filter culture,2290.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,9160000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glycerol,4.0,1700.0,3080.0
274,Valine,2,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,Shake flask and filter culture,1070.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,4280000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Acetate,4.0,817.0,1410.0
278,Valine,1,Mineral medium,Shake flask,157.5,uM,12.964181424216497,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,144.5358185757835,170.4641814242165
275,Valine,3,"48 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco","Bioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h",181.0,uM,0.0,37 oC,BW25113,"Stationary Phase, glucose limited",724000,0,"Ishii, N., Nakahigashi, K., Baba, T., Robert, M., Soga, T., Kanai, A., Hirasawa, T., Naba, M., Hirai, K., Hoque, A., Ho, P. Y., Kakazu, Y., Sugawara, K., Igarashi, S., Harada, S., Masuda, T., Sugiyama, N., Togashi, T., Hasegawa, M., Takai, Y., Yugi, K., Arakawa, K., Iwata, N., Toya, Y., Nakayama, Y., Nishioka, T., Shimizu, K., Mori, H., Tomita, M. (2007). ""Multiple high-throughput analyses monitor the response of E. coli to perturbations."" Science 316:593-597.",17379776,,Minimal,Glucose,4.0,181.0,181.0
276,Valine,4,Luria-Bertani (LB) media,Shake flask,1645.0,uM,134.0,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),6580000,536000,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,1511.0,1779.0
281,Xylulose-5-phosphate,1,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,Shake flask and filter culture,228.66666666666666,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,2744000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Acetate,4.0,444.0,1060.0
280,Xylulose-5-phosphate,0,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,Shake flask and filter culture,340.00000000000006,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,4080000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glycerol,4.0,683.0,1520.0
279,Xylulose-5-phosphate,2,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,440.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,5280000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,982.9999999999999,1770.0
