Ionization Mode,Ion Index,m/z,"Annotations (Compound Name, Modification, Sum-Formula, KEGG Code, HMDB Code)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,540,203.049,Indolepyruvate [+1]-H(+) C11H9NO3 C00331 HMDB00734,Mannitol .H/Na-H(+) C6H14O6 C00392 HMDB00765,D-Sorbitol .H/Na-H(+) C6H14O6 C00794 HMDB00247,Galactitol .H/Na-H(+) C6H14O6 C01697 HMDB00107,Fluoren-9-ol .H/Na-H(+) C13H10O C06711 n.a.,Perillic acid .H/K-H(+) C10H14O2 C11924 HMDB04586,Myrtenic acid .H/K-H(+) C10H14O2 C11940 n.a.,10-Oxogeranial .H/K-H(+) C10H14O2 C17622 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,541,203.079,L-Tryptophan -H(+) C11H12N2O2 C00078 HMDB00929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,542,204.013,"2,4-Diamino-6-nitrotoluene .H/K-H(+) C7H9N3O2 C16396 n.a.","2,6-Diamino-4-nitrotoluene .H/K-H(+) C7H9N3O2 C16397 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,543,204.063,L-Adrenaline .H/Na-H(+) C9H13NO3 C00788 HMDB00068,Indolelactate -H(+) C11H11NO3 C02043 HMDB00671,L-Normetanephrine .H/Na-H(+) C9H13NO3 C05589 HMDB00819,5-Methoxyindoleacetate -H(+) C11H11NO3 C05660 HMDB04096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,544,204.085,L-Tryptophan [+1]-H(+) C11H12N2O2 C00078 HMDB00929,6-Acetamido-2-oxohexanoate +OH(-) C8H13NO4 C05548 HMDB12150,N2-Acetyl-L-aminoadipate semialdehyde +OH(-) C8H13NO4 C12988 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,545,204.119,8-Amino-7-oxononanoate +OH(-) C9H17NO3 C01092 n.a.,Pantothenol -H(+) C9H19NO4 C05944 HMDB04231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,546,204.910,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,547,204.962,Butanoylphosphate .H/K-H(+) C4H9O5P C02527 n.a.,3-Butyn-1-ol .H2PO4K-H(+) C4H6O C06146 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,548,205.002,Dibenzofuran .H/K-H(+) C12H8O C07729 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,549,205.030,Lipoate -H(+) C8H14O2S2 C00725 HMDB01451,"(R)-2-Hydroxybutane-1,2,4-tricarboxylate -H(+) C7H10O7 C01251 HMDB03518",2-Methylcitrate -H(+) C7H10O7 C02225 n.a.,"(Z)-But-1-ene-1,2,4-tricarboxylate +OH(-) C7H8O6 C04002 n.a.","(Z)-But-2-ene-1,2,3-tricarboxylate +OH(-) C7H8O6 C04225 HMDB06357","(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate -H(+) C7H10O7 C04593 HMDB06471",Homoisocitrate -H(+) C7H10O7 C05662 n.a.,N-Trimethyl-2-aminoethylphosphonate .H/K-H(+) C5H15NO3P C06459 n.a.,Dibenzo-p-dioxin .H/Na-H(+) C12H8O2 C07732 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,550,205.082,"cis-2,3-Dihydro-2,3-dihydroxybiphenyl +OH(-) C12H12O2 C06589 n.a.",(3R)-3-Isopropenyl-6-oxoheptanoate .H/Na-H(+) C10H16O3 C11405 n.a.,(3S)-3-Isopropenyl-6-oxoheptanoate .H/Na-H(+) C10H16O3 C11419 n.a.,3-Dimethylallyl-4-hydroxybenzoate -H(+) C12H14O3 C12458 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,551,205.116,Plastoquinol-1 -H(+) C13H18O2 C02185 n.a.,N6-Acetyl-L-lysine +OH(-) C8H16N2O3 C02727 HMDB00206,N2-Acetyl-L-lysine +OH(-) C8H16N2O3 C12989 HMDB00446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,552,205.156,"7,8-Diaminononanoate +OH(-) C9H20N2O2 C01037 n.a.","N6,N6,N6-Trimethyl-L-lysine +OH(-) C9H20N2O2 C03793 HMDB01325",Xanthoxin -CO2-H(+) C15H22O3 C13453 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,553,205.913,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,554,205.981,O-Phospho-L-serine .H/Na-H(+) C3H8NO6P C01005 HMDB00272,2-Aminoacrylate .H2PO4Na-H(+) C3H5NO2 C02218 HMDB03609,"L-2,3-Dihydrodipicolinate .H/K-H(+) C7H7NO4 C03340 HMDB12247","3-Methylpyrrole-2,4-dicarboxylic acid .H/K-H(+) C7H7NO4 C12477 n.a.",4-Methyl-5-nitrocatechol .H/K-H(+) C7H7NO4 C18315 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,555,206.047,"4-(2-Aminophenyl)-2,4-dioxobutanoate -H(+) C10H9NO4 C01252 HMDB00978",4-Hydroxy-2-quinolinecarboxylic acid +OH(-) C10H7NO3 C01717 HMDB00715,N-Acetylisatin +OH(-) C10H7NO3 C02172 n.a.,2-Formaminobenzoylacetate -H(+) C10H9NO4 C05835 n.a.,"3-Amino-4,7-dihydroxy-8-methylcoumarin -H(+) C10H9NO4 C12466 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,556,206.083,N-Acetyl-L-phenylalanine -H(+) C11H13NO3 C03519 HMDB00512,N-Acetyl-D-phenylalanine -H(+) C11H13NO3 C05620 n.a.,3-Dimethylallyl-4-hydroxybenzoate [+1]-H(+) C12H14O3 C12458 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,557,206.160,"7,8-Diaminononanoate [+1]+OH(-) C9H20N2O2 C01037 n.a.","N6,N6,N6-Trimethyl-L-lysine [+1]+OH(-) C9H20N2O2 C03793 HMDB01325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,558,206.910,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,559,206.942,Glycerone phosphate .H/K-H(+) C3H7O6P C00111 HMDB01473,D-Glyceraldehyde 3-phosphate .H/K-H(+) C3H7O6P C00118 n.a.,Propenoate .H2PO4K-H(+) C3H4O2 C00511 n.a.,Methylglyoxal .H2PO4K-H(+) C3H4O2 C00546 HMDB01167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,560,207.062,Sinapoyl aldehyde -H(+) C11H12O4 C05610 n.a.,N-Carbamyl-L-glutamate +OH(-) C6H10N2O5 C05829 n.a.,Benzylsuccinate -H(+) C11H12O4 C09816 HMDB12127,"1,2-Dihydroxy-7-hydroxymethylnaphthalene +OH(-) C11H10O3 C14105 n.a.",cis-2-Carboxycyclohexyl-acetic acid .H/Na-H(+) C9H14O4 C14112 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,561,207.097,"LL-2,6-Diaminoheptanedioate +OH(-) C7H14N2O4 C00666 HMDB01370","meso-2,6-Diaminoheptanedioate +OH(-) C7H14N2O4 C00680 n.a.",(3R)-6-Hydroxy-3-isopropenyl-heptanoate .H/Na-H(+) C10H18O3 C11404 n.a.,(5R)-6-Hydroxy-5-isopropenyl-2-methylhexanoate .H/Na-H(+) C10H18O3 C11406 n.a.,(3S)-6-Hydroxy-3-isopropenyl-heptanoate .H/Na-H(+) C10H18O3 C11417 n.a.,(5S)-6-Hydroxy-5-isopropenyl-2-methylhexanoate .H/Na-H(+) C10H18O3 C11420 n.a.,3-Dimethylallyl-4-hydroxybenzaldehyde +OH(-) C12H14O2 C12459 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,562,207.129,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,563,207.149,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,564,207.996,L-Alanine .H2PO4Na-H(+) C3H7NO2 C00041 HMDB00161,beta-Alanine .H2PO4Na-H(+) C3H7NO2 C00099 HMDB00056,D-Alanine .H2PO4Na-H(+) C3H7NO2 C00133 HMDB01310,Sarcosine .H2PO4Na-H(+) C3H7NO2 C00213 HMDB00271,Alanine .H2PO4Na-H(+) C3H7NO2 C01401 n.a.,"2,3,4,5-Tetrahydrodipicolinate .H/K-H(+) C7H9NO4 C03972 HMDB12289",AminoDHS .H/K-H(+) C7H9NO4 C12108 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,565,208.050,"4-(2-Aminophenyl)-2,4-dioxobutanoate [+2]-H(+) C10H9NO4 C01252 HMDB00978",2-Formaminobenzoylacetate [+2]-H(+) C10H9NO4 C05835 n.a.,"3-Amino-4,7-dihydroxy-8-methylcoumarin [+2]-H(+) C10H9NO4 C12466 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,566,208.065,Sinapoyl aldehyde [+1]-H(+) C11H12O4 C05610 n.a.,Benzylsuccinate [+1]-H(+) C11H12O4 C09816 HMDB12127,"1,2-Dihydroxy-7-hydroxymethylnaphthalene [+1]+OH(-) C11H10O3 C14105 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,567,208.100,"LL-2,6-Diaminoheptanedioate [+1]+OH(-) C7H14N2O4 C00666 HMDB01370","meso-2,6-Diaminoheptanedioate [+1]+OH(-) C7H14N2O4 C00680 n.a.",N-Succinyl-2-L-amino-6-oxoheptanedioate -HPO3-H(+) C11H15NO8 C04462 HMDB12266,3-Dimethylallyl-4-hydroxybenzaldehyde [+1]+OH(-) C12H14O2 C12459 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,568,208.855,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,569,208.891,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,570,208.980,Glycerone .H2PO4Na-H(+) C3H6O3 C00184 HMDB01882,(S)-Lactate .H2PO4Na-H(+) C3H6O3 C00186 HMDB00190,(R)-Lactate .H2PO4Na-H(+) C3H6O3 C00256 HMDB01311,D-Glyceraldehyde .H2PO4Na-H(+) C3H6O3 C00577 n.a.,3-Hydroxypropanoate .H2PO4Na-H(+) C3H6O3 C01013 HMDB00700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,571,208.995,Hydantoin-5-propionate .H/K-H(+) C6H8N2O4 C05565 HMDB01212,1-Butanol .H2PO4K-H(+) C4H10O C06142 HMDB04327,Isoprene .HPO4Na2-H(+) C5H8 C16521 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,572,209.077,Sinapyl alcohol -H(+) C11H14O4 C02325 HMDB13070,"cis-1,2-Dihydroxy-1,2-dihydro-7-hydroxymethylnaphthalene +OH(-) C11H12O3 C14104 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,573,209.114,(-)-Jasmonic acid -H(+) C12H18O3 C08491 n.a.,(+)-7-Isojasmonic acid -H(+) C12H18O3 C16317 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,574,209.982,cis-Aconitate [+1]+Cl(-) C6H6O6 C00417 HMDB00072,Trimethylamine N-oxide .H2PO4K-H(+) C3H9NO C01104 HMDB00925,(R)-1-Aminopropan-2-ol .H2PO4K-H(+) C3H9NO C03194 n.a.,Dehydroascorbate [+1]+Cl(-) C6H6O6 C05422 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,575,210.035,N-Acetyl-L-glutamate .H/Na-H(+) C7H11NO5 C00624 HMDB01138,L-Dopachrome +OH(-) C9H7NO4 C01693 HMDB01430,L-2-Amino-6-oxoheptanedioate .H/Na-H(+) C7H11NO5 C03871 n.a.,"5,6-Dihydroxyindole-2-carboxylate +OH(-) C9H7NO4 C04185 HMDB01253","5-(2'-Formylethyl)-4,6-dihydroxypicolinate -H(+) C9H9NO5 C05654 n.a.",Betalamic acid -H(+) C9H9NO5 C08538 n.a.,AminoDHQ .H/Na-H(+) C7H11NO5 C12109 n.a.,"3-Amino-4,7-dihydroxycoumarin +OH(-) C9H7NO4 C12468 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,576,210.084,Sinapyl alcohol [+1]-H(+) C11H14O4 C02325 HMDB13070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,577,210.116,(-)-Jasmonic acid [+1]-H(+) C12H18O3 C08491 n.a.,(+)-7-Isojasmonic acid [+1]-H(+) C12H18O3 C16317 n.a.,Carboxyspermidine .H/Na-H(+) C8H19N3O2 C18172 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,578,210.960,cis-Aconitate .H/K-H(+) C6H6O6 C00417 HMDB00072,Dehydroascorbate .H/K-H(+) C6H6O6 C05422 n.a.,3-Sulfocatechol .H/Na-H(+) C6H6O5S C06336 n.a.,4-Sulfocatechol .H/Na-H(+) C6H6O5S C06674 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,579,210.991,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,580,211.062,L-Arginine .H/K-H(+) C6H14N4O2 C00062 HMDB00517,"LL-2,6-Diaminoheptanedioate .H/Na-H(+) C7H14N2O4 C00666 HMDB01370","meso-2,6-Diaminoheptanedioate .H/Na-H(+) C7H14N2O4 C00680 n.a.",D-Arginine .H/K-H(+) C6H14N4O2 C00792 HMDB03416,Ferulate +OH(-) C10H10O4 C01494 n.a.,(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate .H/Na-H(+) C8H14O5 C04546 n.a.,N-Methyltryptamine .H/K-H(+) C11H14N2 C06213 HMDB04370,5-Hydroxyconiferaldehyde +OH(-) C10H10O4 C12204 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,581,211.091,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,582,211.128,Traumatin -H(+) C12H20O3 C16309 n.a.,12-Oxo-9(Z)-dodecenoic acid -H(+) C12H20O3 C16311 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,583,211.994,N-Acetyl-L-aspartate .H/K-H(+) C6H9NO5 C01042 HMDB00812,N-Formyl-L-glutamate .H/K-H(+) C6H9NO5 C01045 HMDB03470,4-Phospho-L-aspartate -H(+) C4H8NO7P C03082 HMDB12250,2-Amino-3-oxo-4-phosphonooxybutyrate -H(+) C4H8NO7P C07335 n.a.,"5,6-Indolequinone-2-carboxylic acid .H/Na-H(+) C9H5NO4 C17938 n.a.",2-Phosphinomethylmalate [+1]-H(+) C5H9O7P C17947 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,584,212.089,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,585,212.124,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,586,212.898,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,587,212.947,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,588,212.989,Phenol .H2PO4Na-H(+) C6H6O C00146 HMDB00228,N-Carbamoyl-L-aspartate .H/K-H(+) C5H8N2O5 C00438 HMDB00828,Butanal .HPO4Na2-H(+) C4H8O C01412 HMDB03543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,589,213.013,2-Deoxy-D-ribose 1-phosphate -H(+) C5H11O7P C00672 HMDB01351,2-Deoxy-D-ribose 5-phosphate -H(+) C5H11O7P C00673 HMDB01031,"D-Glucono-1,5-lactone 6-phosphate -CO2-H(+) C6H11O9P C01236 HMDB01127",2-Dehydro-3-deoxy-D-galactonate 6-phosphate -CO2-H(+) C6H11O9P C01286 n.a.,3-Propylmalate .H/K-H(+) C7H12O5 C02123 n.a.,(2S)-2-Isopropylmalate .H/K-H(+) C7H12O5 C02504 HMDB00402,"(2R,3S)-3-Isopropylmalate .H/K-H(+) C7H12O5 C04411 HMDB12156",2-Dehydro-3-deoxy-6-phospho-D-gluconate -CO2-H(+) C6H11O9P C04442 HMDB01376,trans-O-Hydroxybenzylidenepyruvate .H/Na-H(+) C10H8O4 C06203 n.a.,2-Hydroxychromene-2-carboxylate .H/Na-H(+) C10H8O4 C06204 n.a.,2-Deoxy-5-keto-D-gluconic acid 6-phosphate -CO2-H(+) C6H11O9P C06893 n.a.,1-Deoxy-D-xylulose 5-phosphate -H(+) C5H11O7P C11437 HMDB01213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,590,213.072,"2,3-Dihydroxy-p-cumate +OH(-) C10H12O4 C06580 n.a.",5-Hydroxyconiferyl alcohol +OH(-) C10H12O4 C12205 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,591,213.084,N2-Succinyl-L-ornithine -H2O-H(+) C9H16N2O5 C03415 HMDB01199,"N6-Acetyl-LL-2,6-diaminoheptanedioate -H2O-H(+) C9H16N2O5 C04390 n.a.",(1-Ribosylimidazole)-4-acetate -CO2-H(+) C10H14N2O6 C05131 HMDB02331,gamma-Glutamyl-gamma-aminobutyrate -H2O-H(+) C9H16N2O5 C15767 HMDB12161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,592,213.107,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,593,213.121,Dethiobiotin -H(+) C10H18N2O3 C01909 HMDB03581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,594,213.144,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,595,213.181,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,596,213.983,Aminoacetone .HPO4Na2-H(+) C3H7NO C01888 HMDB02134,3-Aminopropanal .HPO4Na2-H(+) C3H7NO C05665 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,597,214.046,sn-glycero-3-Phosphoethanolamine -H(+) C5H14NO6P C01233 HMDB00114,Phenylacetylglycine .H/Na-H(+) C10H11NO3 C05598 n.a.,"4-Amino-2,6-dinitrotoluene +OH(-) C7H7N3O4 C16394 n.a.","2-Amino-4,6-dinitrotoluene +OH(-) C7H7N3O4 C16395 n.a.",FR 900098 +OH(-) C5H12NO5P C17942 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,598,214.063,"3,4-Dihydroxy-L-phenylalanine +OH(-) C9H11NO4 C00355 HMDB00181",N-Hydroxy-L-tyrosine +OH(-) C9H11NO4 C03004 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,599,214.124,Dethiobiotin [+1]-H(+) C10H18N2O3 C01909 HMDB03581,Hydroxyatrazine +OH(-) C8H15N5O C06552 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,600,214.184,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,601,214.890,Diphosphate .H/K-H(+) P2H4O7 C00013 HMDB00250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,602,214.932,Glyoxylate .HPO4Na2-H(+) C2H2O3 C00048 HMDB00119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,603,214.971,Propanoate .HPO4Na2-H(+) C3H6O2 C00163 HMDB00237,(S)-Lactaldehyde .HPO4Na2-H(+) C3H6O2 C00424 HMDB03052,(R)-Lactaldehyde .HPO4Na2-H(+) C3H6O2 C00937 HMDB06458,3-Hydroxypropanal .HPO4Na2-H(+) C3H6O2 C00969 HMDB03453,Hydroxyacetone .HPO4Na2-H(+) C3H6O2 C05235 HMDB06961,Lactaldehyde .HPO4Na2-H(+) C3H6O2 C05999 n.a.,Protoanemonin .H2PO4Na-H(+) C5H4O2 C07090 n.a.,2-Chloro-3-oxoadipate .H/Na-H(+) C6H7ClO5 C12836 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,604,215.030,D-Fructose 6-phosphate -CO2-H(+) C6H13O9P C00085 n.a.,D-Glucose 6-phosphate -CO2-H(+) C6H13O9P C00092 n.a.,D-Glucose 1-phosphate -CO2-H(+) C6H13O9P C00103 HMDB01586,D-Mannose 6-phosphate -CO2-H(+) C6H13O9P C00275 HMDB01078,alpha-D-Galactose 1-phosphate -CO2-H(+) C6H13O9P C00446 HMDB00645,D-Mannose 1-phosphate -CO2-H(+) C6H13O9P C00636 HMDB06330,beta-D-Glucose 1-phosphate -CO2-H(+) C6H13O9P C00663 n.a.,alpha-D-Glucose 6-phosphate -CO2-H(+) C6H13O9P C00668 HMDB01401,D-Fructose 1-phosphate -CO2-H(+) C6H13O9P C01094 HMDB01076,D-Tagatose 6-phosphate -CO2-H(+) C6H13O9P C01097 HMDB06873,D-Galactose 6-phosphate -CO2-H(+) C6H13O9P C01113 n.a.,beta-D-Glucose 6-phosphate -CO2-H(+) C6H13O9P C01172 HMDB03498,Inositol 1-phosphate -CO2-H(+) C6H13O9P C01177 HMDB00213,Ferulate .H/Na-H(+) C10H10O4 C01494 n.a.,Bergapten -H(+) C12H8O4 C01557 n.a.,Sorbose 1-phosphate -CO2-H(+) C6H13O9P C02888 HMDB06797,beta-D-Fructose 2-phosphate -CO2-H(+) C6H13O9P C03267 HMDB06800,myo-Inositol 4-phosphate -CO2-H(+) C6H13O9P C03546 HMDB01313,1D-myo-Inositol 3-phosphate -CO2-H(+) C6H13O9P C04006 HMDB06814,beta-D-Fructose 6-phosphate -CO2-H(+) C6H13O9P C05345 HMDB03971,D-arabino-Hex-3-ulose 6-phosphate -CO2-H(+) C6H13O9P C06019 n.a.,Theophylline +Cl(-) C7H8N4O2 C07130 HMDB01889,Theobromine +Cl(-) C7H8N4O2 C07480 HMDB02825,2-C-Methyl-D-erythritol 4-phosphate -H(+) C5H13O7P C11434 n.a.,5-Hydroxyconiferaldehyde .H/Na-H(+) C10H10O4 C12204 n.a.,"1,7-Dimethylxanthine +Cl(-) C7H8N4O2 C13747 HMDB01860",L-Gulose 1-phosphate -CO2-H(+) C6H13O9P C15924 n.a.,L-Galactose 1-phosphate -CO2-H(+) C6H13O9P C15926 n.a.,,,,,,,,,,,,,,,,,,,,,,,
neg,605,215.060,(S)-6-Hydroxynicotine .H/K-H(+) C10H14N2O C01056 n.a.,"3-(3,4-Dihydroxyphenyl)lactate +OH(-) C9H10O5 C01207 HMDB03503",(R)-6-Hydroxynicotine .H/K-H(+) C10H14N2O C03043 n.a.,3-Methoxy-4-hydroxymandelate +OH(-) C9H10O5 C05584 HMDB00291,Clavaminic acid +OH(-) C8H10N2O4 C06660 n.a.,Caffeine .H/Na-H(+) C8H10N4O2 C07481 HMDB01847,Bis(4-hydroxyphenyl)methanol -H(+) C13H12O3 C18215 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,606,215.085,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,607,215.099,gamma-Glutamyl-gamma-aminobutyraldehyde -H(+) C9H16N2O4 C15700 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,608,215.121,Hercynine +OH(-) C9H16N3O2 C05575 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,609,215.154,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,610,215.213,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,611,216.033,Bergapten [+1]-H(+) C12H8O4 C01557 n.a.,Theophylline [+1]+Cl(-) C7H8N4O2 C07130 HMDB01889,Theobromine [+1]+Cl(-) C7H8N4O2 C07480 HMDB02825,2-C-Methyl-D-erythritol 4-phosphate [+1]-H(+) C5H13O7P C11434 n.a.,"1,7-Dimethylxanthine [+1]+Cl(-) C7H8N4O2 C13747 HMDB01860",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,612,216.065,3-Methylindolepyruvate -H(+) C12H11NO3 C05644 n.a.,Clavaminic acid [+1]+OH(-) C8H10N2O4 C06660 n.a.,"2,4-Dihydroxylamino-6-nitrotoluene +OH(-) C7H9N3O4 C16402 n.a.",2-Amino-5-hydroxyl-4-hydroxylamino-6-nitrotoluene +OH(-) C7H9N3O4 C16414 n.a.,Bis(4-hydroxyphenyl)methanol [+1]-H(+) C13H12O3 C18215 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,613,216.089,"cis-2,3-Dihydroxy-2,3-dihydro-p-cumate [+1]+OH(-) C10H14O4 C06579 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,614,216.131,beta-Alanyl-L-lysine -H(+) C9H19N3O3 C05341 n.a.,gamma-L-Glutamylputrescine -H(+) C9H19N3O3 C15699 HMDB12230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,615,216.922,Orthophosphate .H2PO4Na-H(+) H3PO4 C00009 HMDB01429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
